> Task :task3:test
AppTest > horseHasNoDestinationBeforePulling() PASSED
AppTest > sandIsCalledSand() PASSED
AppTest > horsesAreWild() PASSED
AppTest > worryIsSomeNotExtreme() PASSED
AppTest > childrenAreNotNormalSized() PASSED
AppTest > childrenAreHuge() PASSED
AppTest > fenceIsAlwaysReinforcedRegardlessOfFreshness() PASSED
AppTest > pavementIsCalledPavement() PASSED
AppTest > childrenJumpOnSand() PASSED
AppTest > supplyWithOneStaleFenceIsNotFresh() PASSED
AppTest > watchingHugeChildCausesSomeWorry() PASSED
AppTest > horsesArriveAtUnknownRegions() PASSED
AppTest > routeGoesthroughTheSky() PASSED
AppTest > unknownRegionsIsCalledCorrectly() PASSED
AppTest > childHasNoLocationBeforeJumping() PASSED
AppTest > theyAreOnThePavement() PASSED
AppTest > allFencesInSupplyAreReinforced() PASSED
AppTest > suppliesAreFresh() PASSED
